love	sevmek
blonde	sarışın
blossom	çicek
blouse	bluz
blue	mavi
bodyguard	fedai
Bogota	Bogota
bolt	sürgü
bonus	ikramiye
bookcase	kütüphane
booking	rezervasyon
bookkeeper	muhasebeci
bookmaker	bahisçi
bookshelf	kitaplık
boots	çizme
border	sınır
bored	sıkkın
boring	sıkıcı
Bosnian	Boşnakça
boss	patron
botanist	botanist
bouncer	fedai
bowl	kase
boxing	boks
boyfriend	erkek arkadaş
bra	sütyen
bracelet	bilezik
brake	fren
brambles	böğürtlen
branch	dal
Bratislava	Bratislava
brave	cesur
bread	ekmek
breeze	esinti
brick	tuğla
bride	gelin
bridegroom	damat
bridesmaid	nedime
bridge	köprü
broad	geniş
broccoli	brokoli
brochure	broşür
broken	kırık
broom	süpürge
brown	kahverengi
brunette	esmer
Brussels	Brüksel
Bucharest	Bükreş
bucket	kova
bud	tomurcuk
Budapest	Budapeşte
builder	inşaatçı
Bulgarian	Bulgarca
burglar	soyguncu
bush	çalı
butcher	kasap
butter	tereyağı
butterfly	kelebek
button	iliklemek
buyer	alıcı
cabbage	lahana
cable	kablo
Cairo	Kahire
cake	kek
calm	sakin
canal	kanal
cancellation	iptal
candle	mum
capital city	başkent
Caracas	Karakas
cardigan	hırka
career	kariyer
carer	bakıcı
carnation	karanfil
carpenter	marangoz
carpet	halı
carrot	havuç
cash	nakit
cashier	kasiyer
cashier	kasiyer
cat	kedi
Catalan	Katalanca
cauliflower	karnabahar
cautious	dikkatli
ceiling	tavan
celery	kereviz
cellar	kiler
cellar	bodrum
Celsius	Santigrat
cement	çimento
century	asır
certificate	sertifika
chain	zincir
chair	sandalye
chair	sandalye
chalk	tebeşir
cheap	ucuz
check	şah
cheeky	yüzsüz
cheerful	neşeli
cheese	peynir
biscuits	kraker
chef	şef
chemist	eczacı
cherry	kiraz
Chicago	Şikago
chicken	tavuk
child	çocuk
chilly	serin
chimney	baca
chisel	keski
chocolate	çikolata
choreographer	koreograf
Christmas	Noel
chrysanthemum	krizantem
cinnamon	tarçın
city	şehir
class	sınıf
classroom	sınıf
claw	pençe
clean	temiz
cleaner	temizlikci
clever	akıllı
climate	iklim
climbing	dağcılık
cloakroom	vestiyer
clock	saat
closed	kapalı
cloud	bulut
cloudy	bulutlu
coast	sahil
coat	kaban
colander	süzgeç
cold	soğuk
colleague	meslektaş
comedian	komedyen
competition	yarışma
complaint	şikayet
composer	besteci
conservatory	sera
contract	kontrat
cook	aşçı
cooker	ocak
Copenhagen	Kopenhag
copse	koru
coriander	kişniş
corkscrew	tirbuşon
corn	mısır
corrupt	yozlaşmış
cotton	pamuk
counter	tezgah
country	ilçe
courgette	kabak
course	kurs
cousin	kuzen
cow	inek
cowardly	korkakça
crab	yengeç
crater	krater
crazy	çılgın
cream	kaymak
cricket	kriket
crisps	cips
Croatian	Hırvatça
crocus	çiğdem
crop	mahsul
crow	karga
crude	kaba
cucumber	salatalık
cumin	kimyon
cup	bardak
cupboard	dolap
curriculum	müfredat
curry	köri
curtains	perde
cushion	yastık
customer	müşteri
customs	gümrük
CV	özgeçmiş
cycling	bisiklet
Czech	Çekce
daffodil	nergis
daisy	papatya
dam	baraj
dancer	danscı
dandelion	hindiba
dangerous	tehlikeli
Danish	Danca
dark	karanlık
database	veritabanı
dates	hurma
daughter	kız
day	gün
dead	ölü
debate	tartışma
December	Aralık
decorator	dekoratör
deep	derin
deer	geyik
defeat	yenilgi
degree	derece
degree	lisans
delay	gecikme
delayed	gecikti
delighted	hoşnut
dentist	dişçi
department	bölüm
depressed	bunalımlı
desert	çöl
desk	sıra
detective	dedektif
detergent	deterjan
Dhaka	Daka
difficult	zor
dill	dereotu
dinner jacket	smoking
diplomat	diplomat
director	yönetici
dirty	kirli
discount	indirim
disinfectant	dezenfektan
ditch	çukur
diving	dalma
divorced	boşanmış
doctor	doktor
document	doküman
dog	köpek
dollar	Dolar
door	kapı
dove	kumru
drain	boru
dress	elbise
drill	matkap
drizzle	çiseleme
drought	kuraklık
dry	kuru
Dubai	Dubai
Dublin	Dublin
duck	ördek
dull	durgun
dustpan	faraş
brush	fırça
Dutch	Flemenkçe
duvet	yorgan
eagle	kartal
earlier	evvel
early	erken
earrings	küpe
earthquake	deprem
Easter	Paskalya
easy	kolay
economist	ekonomist
economy	ekonomi
editor	editör
eggs	yumurta
eight	sekiz
eighth	sekizinci
eightieth	sekseninci
eighty	seksen
electrician	elektrikçi
elephant	fil
elm	karaağaç
emotional	duygusal
empty	boş
energy	enerji
engaged	nişanlı
engineer	mühendis
English	İngilizce
enthusiastic	hevesli
envelopes	zarf
environment	çevre
erosion	erozyon
paper	rapor
Estonian	Estonca
euro	Avro
Europe	Avrupa
exam	imtehan
excellent	mükemmel
excited	heyecanlı
exhausted	bitkin
expensive	pahalı
experience	deneyim
extroverted	dışa dönük
factory	fabrika
Fahrenheit	Fahrenhayt
fair	adil
false	yanlış
famine	kıtlık
far	uzak
farm	çiftlik
farmer	çiftçi
fast	hızlı
fat	şişman
father	baba
February	Şubat
fed up	bıkkın
fence	çit
few	az
fifth	beşinci
fiftieth	ellinci
fifty	elli
fig	incir
file	törpülemek
file	dosya
Filipino	Filipince
fine	iyi
Finnish	Fince
fir	köknar
firefighter	itfaiyeci
fireplace	şömine
first	birinci
fish	balık
fisherman	balıkçı
fishing	balıkçılık
fishmonger	balıkçı
five	beş
fixture	fikstür
flood	sel
floor	yer
floorcloth	yer bezi
florist	çicekçi
flower	çicek
flowerpot	saksı
flowers	çicekler
fly	sinek
fog	sis
foggy	sisli
folder	klasör
football	futbol
forest	orman
forger	kalpazan
fork	bel
fork	çatal
fortieth	kırkıncı
forty	kırk
foul	faul
four	dört
fourth	dördüncü
fox	tilki
Frankfurt	Frankfurt
freezer	dondurucu
French	Fransızca
fridge	buzdolabı
frog	kurbağa
frost	don
full	dolu
funny	komik
fur	kürk
furious	öfkeli
fuse	eritmek
gale	fırtına
game	oyun
garage	garaj
gardener	bahçıvan
garlic	sarımsak
gate	geçit
gate	giriş
gears	vitesler
generous	cömert
Geneva	Cenevre
Georgian	Gürcüce
geranium	sardunya
German	Almanca
ginger	zencefil
giraffe	zürafa
glacier	buzul
glasses	gözlük
glazier	camcı
gloves	eldiven
glue	tutkal
goal	gol
goalkeeper	kaleci
post	kale
godson vaftiz	oğul
go-karting	gokart
golf	golf
good	iyi
grade	not
grandchild	torun
grandfather	büyükbaba
grandfather	dede
grandmother	anneanne
grandmother	babaanne
grape	üzüm
grapefruit	greyfurt
grass	çim
gravel	çakıl
Greek	Yunanca
green	yeşil
greengrocer	manav
greenhouse	sera
grill	mangal
groundsman	bahçıvan
gymnastics	jimnastik
haddock	mezgit
hail	dolu
hairdresser	kuaför
hall	hol
ham	jambon
hammer	çekiç
hamster	hamster
handball	hentbol
handkerchief	mendil
handlebars	gidon
handsome	yakışıklı
Hanoi	Hanoi
happy	mutlu
harbour	liman
hard	sert
hardware	donanım
harvest	hasat
hat	şapka
hawthorn	akdiken
hay	saman
health	emniyet
heavy	ağır
Hebrew	İbranice
hedge	çalı
Helsinki	Helsinki
herb	baharat
high	yüksek
hill	tepe
Hindi	Hintçe
hockey	hokey
hoe	çapa
holiday	tatil
homework	ödev
honest	dürüst
honey	bal
honeymoon	balayı
hoof	toynak
horse	at
hot	sıcak
hour	saat
humid	rutubetli
humidity	nem
hummus	humus
hundredth	yüzüncü
Hungarian	Macarca
hunting	avcılık
hurricane	hortum
husband	koca
Icelandic	İzlandaca
Indonesian	Endonezce
Irish	İralandaca
ISP	İSS
Istanbul	İstanbul
Italian	İtalyanca
ice	buz
ice cream	dondurma
icy	buzlu
illustrator	resimleyici
immediately	hemen
straight away	hemen
impatient	sabırsız
impolite	kaba
important	önemli
impulsive	dürtüs
intelligent	zeki
interesting	ilginç
internship	staj
interpreter	tercüman
interview	mülakat
iron	ütü
irrigation	sulama
island	ada
ivy	sarmaşık
jacket	ceket
Jakarta	Cakarta
jam	reçel
January	Ocak
Japanese	Japonca
jar	kavanoz
Jerusalem	Kudüs
job	iş
jogging	jogging
Johannesburg	Yohanesburg
journalist	gazeteci
journey	seyahat
judge	yargıç
judo	judo
jug	sürahi
juicer	sıkacak
July	Temmuz
jumper	kazak
June	Haziran
Kabul	Kabil
Karachi	Karaçi
karate	karate
Kazakh	Kazakça
ketchup	ketçap
keyboard	klavye
keyring	anahtarlık
keys	anahtarlar
Khmer	Kmerce
kidneys	böbrekler
Kiev	Kiev
kind	iyi kalpli
king	şah
kipper	çiroz
kitchen	mutfak
knife	bıçak
knight	at
Korean	Korecei
laboratory	laboratuvar
ladder	merdiven
ladle	kepçe
Lagos	Lagos
Lahore	Lahor
lake	göl
lamp	lamba
lampshade	abajur
landing	sahanlık
landscape	tabiat
Lao	Laoca
lasagne	lazanya
late	geç
Latin	Latince
latitude	enlem
Latvian	Letonca
lava	lav
lavatory	tuvalet
lawn	çim
lawyer	avukat
lazy	tembel
leaf	yaprak
lecture	ders
leek	pırasa
lemon	limon
lesson	ders
librarian	kütüphaneci
library	kütüphane
light	hafif
light	aydınlık
lighter	çakmak
lighter	çakmak
lightning	şimşek
lily	zambak
Lima	Lima
lion	aslan
lipstick	ruj
Lisbon	Lizbon
Lithuanian	Litvanca
liver	ciğer
Ljubljana	Lublijana
logs	kütük
London	Londra
long	uzun
longitude	boylam
loose	bol
loser	kaybeden
loss	mağlubiyet
loud	gürültülü
low	alçak
lucky	şanslı
luggage	bagaj
Luxembourg	Lüksemburg
mackerel	uskumru
Madrid	Madrid
makeup	makyaj
Malay	Malayca
manager	idareci
manager	müdür
mane	yele
mango	mango
Manila	Manila
many	çok
map	harita
maple	akağaç
March	Mart
margarine	margarin
mark	not
marmalade	marmelat
Marrakesh	Marakeş
marriage	evlilik
married	evli
masseur	masör
masseuse	masöz
match	maç
matches	kibrit
mattress	şilte
May	Mayıs
mayonnaise	mayonez
meadow	çayır
mean	acımasız
mean	acımasız
mechanic	mekanik
meeting	toplantı
melon	kavun
memory	hafıza
midwife	gebelik
migration	göç
milk	süt
mine	maden
miner	madenci
minute	dakika
mirror	ayna
miserable	dertli
mist	pus
misty	puslu
model	model
Mongolian	Moğolca
monitor	monitör
monkey	maymun
month	ay
Montreal	Montreal
moody	huysuz
moor	fundalık
morning	sabah
Moscow	Moskova
moss	yosun
mother	anne
mountain	dağ
mouse	mouse
moustache	bıyık
move	hamle
muesli	müsli
mushroom	mantar
musician	müzisyen
mustard	hardal
nail	çivi
Nairobi	Nayrobi
narrow	dar
nasty	çirkin
near	yakın
necklace	kolye
needle	iğne
Nepali	Nepalce
net	file
netball	netbol
nettle	ısırganotu
new	yeni
nice	hoş
Nicosia	Lefkoşe
nightie	gecelik
nil	sıfır
nine	dokuz
ninetieth	doksanıncı
ninety	doksan
ninth	dokuzuncu
noodles	noodle
normal	normal
November	Kasım
now	şimdi
nurse	hemşire
nut	vida
oak	meşe
obedient	itaatkar
obese	obez
ocean	Okyanus
October	Ekim
office	ofis
offside	ofsayt
old	yaşlı
old	eski
olives	zeytin
one	bir
onion	soğan
open	açık
opponent	rakip
optician	gözlükçü
orange	turuncu
orange	portakal
orchid	orkide
organic	organik
Oslo	Oslo
Ottawa	Ottava
oven	fırın
overcoat	palto
owl	baykuş
PA	asistan
paint	boya
painter	ressam
painting	resim
palm tree	palmiye
pancakes	krep
paramedic	paramedik
parent	ebeveyn
Paris	Paris
parsley	maydanoz
partner	eş
Pashto	Peştuca
pass	pas
passenger	yolcu
password	şifre
pasta	makarna
path	patika
patient	sabırlı
patio	teras
paw	pati
pawn	piyon
peach	şeftali
pear	armut
peas	bezelye
pedal	pedal
penalty	penaltı
pencil	kalem
peninsula	yarımada
pepper	biber
permanent	daimi
Persian	Farca
pharmacist	eczacı
chemist	eczacı
photographer	fotoğrafcı
physicist	fizikçi
physiotherapist	fizyoterapist
piano	piyano
pickpocket	yankesici
picture	fotoğraf
pier	iskele
piercing	piercing
pig	domuz
pigeon	güvercin
pillow	yastık
pilot	pilot
pine cone	kozalak
pineapple	ananas
pink	pembe
pipe	boru
pitta bread	pide
pizza	pizza
plain	düzlük
plants	bitkiler
plaster	alçı
plasterer	sıvacı
plate	tabak
player	oyuncu
pleasant	hoş
pleased	memnun
pliers	kerpeten
plug	tıpa
plug	piriz
plug	tıpa
plug socket	priz
plum	erik
plumber	tesisatcı
poached eggs	çılbır
pocket	cep
poet	şair
Polish	Lehçe
polite	kibar
politician	politikacı
pollen	polen
pomegranate	nar
pond	gölet
pond	gölet
poor	fakir
poplar	kavak
poppy	gelincik
population	nüfus
Portuguese	Portekizce
poster	poster
postman	postacı
potato	patates
poverty	yoksulluk
Prague	Prag
prefect	başkan
pretty	hoş
price	fiyat
priest	rahip
printer	yazıcı
professor	profesör
programmer	programcı
projector	projektör
promotion	terfi
psychiatrist	psikiyatr
pudding	muhallebi
pullover	kazak
pumpkin	balkabağı
puncture	patlamak
Punjabi	Pencapça
pupil	öğrenci
purple	mor
pyjamas	pyjama
qualification	kalifikasyon
qualifications	nitelikler
queen	vezir
question	soru
queue	kuyruk
quiche	kiş
quiet	sessiz
rabbi	haham
rabbit	tavşan
racetrack	hipodrom
radiation	radyasyon
radiator	kalorifer
radio	radyo
rain	yağmur
rainbow	gökkuşağı
raincoat	yağmurluk
rainfall	yağış
rainy	yağmurlu
rake	tarak
raspberry	ahududu
rat	sıçan
reading	okuma
receipt	fiş
reception	resepsiyon
receptionist	resepsiyonist
red	kırmızı
referee	hakem
register	kayıt
relaxed	rahat
research	araştırma
researcher	araştırmacı
reservation	rezervasyon
result	sonuç
retired	emekli
rice	pilav
rice pudding	sütlaç
rich	zengin
Riga	Riga
right	DOĞRU
ring	yüzlük
river	nehir
roast beef	biftek
rock	kaya
rocket	roka
Romanian	Romence
Rome	Roma
roof	çatı
castle	kale
root	kök
rose	gül
rosemary	biberiye
rouble	Ruble
rowing	kürek
rude	kaba
rugby	rugbi
ruler	cetvel
runner beans	fasulye
running	koşma
rupee	Rupi
rural	kırsal
Russian	Rusca
rusty	paslı
sad	üzgün
sad	mutsuz
saddle	sele
safe	güvenli
saffron	safran
sage	adaçayı
sailing	yelken
sailor	denizci
salad	salata
salami	salam
salary	maaş
sale	ucuzluk
salmon	somon
salt	tuz
sandals	sandalet
sandwich	sandviç
sardine	sardalya
saucer	sosluk
sausage	sosis
mash	püre
sausages	sosis
saw	testere
scarf	atkı
school	okul
scissors	makas
score	skor
screen	ekran
screw	vida
screwdriver	tornavida
scruffy	dağınık
sea	deniz
second	ikinci
second	saniye
secretary	sekreter
security	güvenlik
sellotape	selobant
semester	dönem
sensible	mantıklı
sensitive	hassas
Seoul	Seul
separated	ayrılmış
September	Eylül
Serbian	Sırpça
serious	ciddi
seven	yedi
seventy	yetmiş
shallow	sığı
Shanghai	Şanghai
shed	baraka
sheep	koyun
sheet	çarşaf
shelf	raf
shirt	gömlek
shoes	ayakkabılar
shooting	atıcılık
shop	dükkan
short	kısa
shorts	şort
shot	şut
shower	duş
shy	utangaç
sideboard	büfe
sieve	kevgir
Singapore	Singapur
singer	şarkıcı
single	bekar
sink	lavabo
sirloin steak	bonfile
sister	kız kardeş
six	altı
sixth	altıncı
sixtieth	altmışıncı
sixty	altmış
skiing	kayak
skirt	etek
slim	ince
slippers	terlik
Slovak	Slovakça
slow	yavaş
smart	şık
smuggler	kaçakçı
snake	yılan
snobbish	züppe
snooker	bilardo
snout	burun
snow	kar
soap	sabun
socks	çorap
sofa	kanepe
Sofia	Sofya
soft	yumuşak
soldier	asker
sole	dilbalığı
Somali	Somalice
son	oğul
soon	yakında
soup	çorba
soup	çorba
spade	kürek
spaghetti	spagetti
Spanish	İspanyolca
speakers	hoperlör
spectator	seyirci
spelling	heceleme
spider	örümcek
spinach	ıspanak
sponge	sünger
spoon	kaşık
spreadsheet	tablolama
spring	İlkbahar
squash	kabak
squash	squash
staircase	merdiven
stairs	merdivenler
stalemate	pata
stalk	sap
stamps	pul
stand	tribün
stem	sap
stew	güveç
stilettos	stilet
stockbroker	borsacı
Stockholm	Stokholm
stockings	çorap
stockroom	depo
stool	tabure
storm	fırtına
stormy	fırtınalı
stove	fırın
strawberry	çilek
stream	akarsu
stressed	gerilmiş
strike	grev
string	ip
stripper	striptizci
strong	güçlü
student	öğrenci
stupid	aptal
subject	konu
sugar	şeker
suitcase	bavul
summer	Yaz
sun	güneş
sunny	güneşli
supporter	taraftar
surfing	sörf
surgeon	cerrah
surprised	şaşırmış
Swahili	Svahilice
swamp	bataklık
sweater	süveter
swede	şalgam
Swedish	İsveççe
sweets	şekerlemeler
swimming	yüzme
swing	salıncak
switchboard	santral
sycamore	çınar
Sydney	Sidney
table	masa
Tagalog	Tagalogca
tail	kuyruk
tailor	terzi
talented	yetenekli
tall	uzun
Tallinn	Tallinn
Tamil	Tamilce
tap	musluk
tape	bant
tattooist	dövmeci
teacher	öğretmen
teapot	çaydanlık
Tehran	Tehran
telephone	telefon
Telugu	Teluguca
temporary	geçici
ten	on
tennis	tenis
tenth	onuncu
term	dönem
terrible	berbat
test	test
Thai	Tay
then	o zaman
thermometer	termometre
thesis	tez
thick	kalın
thief	hırsız
thin	zayıf
third	üçüncü
thirty	otuz
thong	tanga
thorn	diken
three	üç
Turkey	Türkiye
static	statik
files	dosyalar
file	dosya
file	dosya
bag	çanta
cactus	kaktüs
cactus	kaktüs
adoption	evlat
age	yaş
star	yıldız
apple	elma
